date,product_code,product,variant,total_quantity_sold,gross_price_per_item,gross_price_total
"2020-10-01 00:00:00",A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,464,19.0573000000,8842.5872000000
"2020-10-01 00:00:00",A0118150102,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Plus,345,21.4565000000,7402.4925000000
"2020-10-01 00:00:00",A0118150103,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Premium,628,21.7795000000,13677.5260000000
"2020-10-01 00:00:00",A0118150104,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache","Premium Plus",140,22.9729000000,3216.2060000000
"2020-10-01 00:00:00",A0219150201,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Standard,528,23.6987000000,12512.9136000000
"2020-10-01 00:00:00",A0219150202,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Plus,546,24.7312000000,13503.2352000000
"2020-10-01 00:00:00",A0220150203,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Premium,292,23.6154000000,6895.6968000000
"2020-10-01 00:00:00",A0320150301,"AQ Zion Saga",Standard,372,23.7223000000,8824.6956000000
"2020-10-01 00:00:00",A0321150302,"AQ Zion Saga",Plus,573,27.1027000000,15529.8471000000
"2020-10-01 00:00:00",A0321150303,"AQ Zion Saga",Premium,535,28.0059000000,14983.1565000000
"2020-10-01 00:00:00",A0418150103,"AQ Mforce Gen X","Standard 3",318,19.5235000000,6208.4730000000
"2020-10-01 00:00:00",A0418150104,"AQ Mforce Gen X","Plus 1",391,19.9239000000,7790.2449000000
"2020-10-01 00:00:00",A0418150105,"AQ Mforce Gen X","Plus 2",468,20.0766000000,9395.8488000000
"2020-10-01 00:00:00",A0418150106,"AQ Mforce Gen X","Plus 3",285,19.9365000000,5681.9025000000
"2020-10-01 00:00:00",A0519150201,"AQ Mforce Gen Y","Standard 1",228,22.3984000000,5106.8352000000
"2020-10-01 00:00:00",A0519150202,"AQ Mforce Gen Y","Standard 2",295,24.9298000000,7354.2910000000
"2020-10-01 00:00:00",A0519150203,"AQ Mforce Gen Y","Standard 3",601,26.5871000000,15978.8471000000
"2020-10-01 00:00:00",A0519150204,"AQ Mforce Gen Y","Plus 1",208,26.1081000000,5430.4848000000
"2020-10-01 00:00:00",A0519150205,"AQ Mforce Gen Y","Plus 2",288,29.7008000000,8553.8304000000
"2020-10-01 00:00:00",A0519150206,"AQ Mforce Gen Y","Plus 3",421,31.2439000000,13153.6819000000
"2020-10-01 00:00:00",A0519150207,"AQ Mforce Gen Y","Premium 1",531,32.4427000000,17227.0737000000
"2020-10-01 00:00:00",A0519150208,"AQ Mforce Gen Y","Premium 2",300,30.5816000000,9174.4800000000
"2020-10-01 00:00:00",A0619150301,"AQ Mforce Gen Z","Standard 1",647,30.4696000000,19713.8312000000
"2020-10-01 00:00:00",A0619150302,"AQ Mforce Gen Z","Standard 2",482,34.0973000000,16434.8986000000
"2020-10-01 00:00:00",A0620150303,"AQ Mforce Gen Z","Standard 3",198,34.2412000000,6779.7576000000
"2020-10-01 00:00:00",A0620150304,"AQ Mforce Gen Z","Plus 1",347,37.5826000000,13041.1622000000
"2020-10-01 00:00:00",A0620150305,"AQ Mforce Gen Z","Plus 2",300,36.5679000000,10970.3700000000
"2020-10-01 00:00:00",A0620150306,"AQ Mforce Gen Z","Plus 3",490,37.5278000000,18388.6220000000
"2020-10-01 00:00:00",A0621150307,"AQ Mforce Gen Z","Premium 1",375,36.2434000000,13591.2750000000
"2020-10-01 00:00:00",A0621150308,"AQ Mforce Gen Z","Premium 2",639,39.3990000000,25175.9610000000
"2020-10-01 00:00:00",A0721150401,"AQ GT 21",Standard,315,39.3377000000,12391.3755000000
"2020-10-01 00:00:00",A0721150402,"AQ GT 21","Plus 1",553,39.1465000000,21648.0145000000
"2020-10-01 00:00:00",A0721150403,"AQ GT 21","Plus 2",226,39.2990000000,8881.5740000000
"2020-10-01 00:00:00",A0721150404,"AQ GT 21",Premium,340,39.1215000000,13301.3100000000
"2020-10-01 00:00:00",A0821150501,"AQ Marquee P3",Standard,363,40.5013000000,14701.9719000000
"2020-10-01 00:00:00",A0821150502,"AQ Marquee P3","Plus 1",567,43.2966000000,24549.1722000000
"2020-10-01 00:00:00",A0821150503,"AQ Marquee P3","Plus 2",142,42.3841000000,6018.5422000000
"2020-10-01 00:00:00",A0821150504,"AQ Marquee P3",Premium,455,44.7044000000,20340.5020000000
"2020-10-01 00:00:00",A0921150601,"AQ Marquee P4",Standard,439,45.0813000000,19790.6907000000
"2020-10-01 00:00:00",A1018150101,"AQ 5000 Series Electron 9 5900X Desktop Processor",Standard,251,111.1036000000,27887.0036000000
"2020-10-01 00:00:00",A1018150102,"AQ 5000 Series Electron 9 5900X Desktop Processor",Plus,429,123.4797000000,52972.7913000000
"2020-10-01 00:00:00",A1018150103,"AQ 5000 Series Electron 9 5900X Desktop Processor",Premium,438,123.9315000000,54281.9970000000
"2020-10-01 00:00:00",A1118150201,"AQ 5000 Series Electron 8 5900X Desktop Processor",Standard,345,124.2640000000,42871.0800000000
"2020-10-01 00:00:00",A1118150202,"AQ 5000 Series Electron 8 5900X Desktop Processor",Plus,208,129.5836000000,26953.3888000000
"2020-10-01 00:00:00",A1119150203,"AQ 5000 Series Electron 8 5900X Desktop Processor",Premium,602,139.8962000000,84217.5124000000
"2020-10-01 00:00:00",A1219150301,"AQ 5000 Series Ultron 8 5900X Desktop Processor",Standard,534,135.6822000000,72454.2948000000
"2020-10-01 00:00:00",A1219150302,"AQ 5000 Series Ultron 8 5900X Desktop Processor",Plus,617,145.1474000000,89555.9458000000
"2020-10-01 00:00:00",A1219150303,"AQ 5000 Series Ultron 8 5900X Desktop Processor",Premium,165,142.9402000000,23585.1330000000
"2020-10-01 00:00:00",A1319150401,"AQ Electron 5 3600 Desktop Processor",Standard,401,149.1034000000,59790.4634000000
"2020-10-01 00:00:00",A1320150402,"AQ Electron 5 3600 Desktop Processor",Plus,530,150.2450000000,79629.8500000000
"2020-10-01 00:00:00",A1320150403,"AQ Electron 5 3600 Desktop Processor",Premium,528,160.6912000000,84844.9536000000
"2020-10-01 00:00:00",A1420150501,"AQ Electron 4 3600 Desktop Processor",Standard,300,160.5082000000,48152.4600000000
"2020-10-01 00:00:00",A1420150502,"AQ Electron 4 3600 Desktop Processor",Plus,364,169.4999000000,61697.9636000000
"2020-10-01 00:00:00",A1421150503,"AQ Electron 4 3600 Desktop Processor",Premium,653,176.4389000000,115214.6017000000
"2020-10-01 00:00:00",A1521150601,"AQ Electron 3 3600 Desktop Processor",Standard,436,186.2917000000,81223.1812000000
"2020-10-01 00:00:00",A1521150602,"AQ Electron 3 3600 Desktop Processor",Plus,339,185.4599000000,62870.9061000000
"2020-10-01 00:00:00",A1618150101,"AQ MB Elite",Standard,209,19.6485000000,4106.5365000000
"2020-10-01 00:00:00",A1618150102,"AQ MB Elite","Plus 1",240,20.4629000000,4911.0960000000
"2020-10-01 00:00:00",A1618150103,"AQ MB Elite","Plus 2",254,21.2017000000,5385.2318000000
"2020-10-01 00:00:00",A1618150104,"AQ MB Elite",Premium,396,21.4489000000,8493.7644000000
"2020-10-01 00:00:00",A1718150201,"AQ MB Crossx",Standard,330,21.8879000000,7223.0070000000
"2020-10-01 00:00:00",A1718150202,"AQ MB Crossx","Plus 1",319,22.8957000000,7303.7283000000
"2020-10-01 00:00:00",A1718150203,"AQ MB Crossx","Plus 2",342,27.3445000000,9351.8190000000
"2020-10-01 00:00:00",A1718150204,"AQ MB Crossx",Premium,192,28.3991000000,5452.6272000000
"2020-10-01 00:00:00",A1819150301,"AQ MB Crossx 2",Standard,176,28.8615000000,5079.6240000000
"2020-10-01 00:00:00",A1819150302,"AQ MB Crossx 2","Plus 1",391,31.9525000000,12493.4275000000
"2020-10-01 00:00:00",A1819150303,"AQ MB Crossx 2","Plus 2",153,32.1924000000,4925.4372000000
"2020-10-01 00:00:00",A1819150304,"AQ MB Crossx 2",Premium,367,32.2612000000,11839.8604000000
"2020-10-01 00:00:00",A1919150401,"AQ MB Lito",Standard,263,33.7609000000,8879.1167000000
"2020-10-01 00:00:00",A1919150402,"AQ MB Lito","Plus 1",478,35.0256000000,16742.2368000000
"2020-10-01 00:00:00",A1919150403,"AQ MB Lito","Plus 2",325,35.8350000000,11646.3750000000
"2020-10-01 00:00:00",A1920150404,"AQ MB Lito",Premium,419,38.9780000000,16331.7820000000
"2020-10-01 00:00:00",A2020150501,"AQ MB Lito 2",Standard,232,41.3696000000,9597.7472000000
"2020-10-01 00:00:00",A2020150502,"AQ MB Lito 2","Plus 1",263,39.3932000000,10360.4116000000
"2020-10-01 00:00:00",A2021150503,"AQ MB Lito 2","Plus 2",270,45.4377000000,12268.1790000000
"2020-10-01 00:00:00",A2118150101,"AQ Master wired x1 Ms","Standard 1",2317,2.9434000000,6819.8578000000
"2020-10-01 00:00:00",A2118150102,"AQ Master wired x1 Ms","Standard 2",1345,3.9998000000,5379.7310000000
"2020-10-01 00:00:00",A2118150103,"AQ Master wired x1 Ms","Plus 1",2134,4.5295000000,9665.9530000000
"2020-10-01 00:00:00",A2118150104,"AQ Master wired x1 Ms","Plus 2",2089,5.0459000000,10540.8851000000
"2020-10-01 00:00:00",A2118150105,"AQ Master wired x1 Ms","Premium 1",1936,4.6904000000,9080.6144000000
"2020-10-01 00:00:00",A2118150106,"AQ Master wired x1 Ms","Premium 2",1375,5.2542000000,7224.5250000000
"2020-10-01 00:00:00",A2218150201,"AQ Master wireless x1 Ms","Standard 1",1825,5.4383000000,9924.8975000000
"2020-10-01 00:00:00",A2218150202,"AQ Master wireless x1 Ms","Standard 2",2239,6.4054000000,14341.6906000000
