date,gross_price_total
"2017-09-01 00:00:00",122407.5582000000
"2017-10-01 00:00:00",162687.5716000000
"2017-12-01 00:00:00",245673.8042000000
"2018-01-01 00:00:00",127574.7372000000
"2018-02-01 00:00:00",144799.5182000000
"2018-04-01 00:00:00",130643.8976000000
"2018-05-01 00:00:00",139165.0975000000
"2018-06-01 00:00:00",125735.3786000000
"2018-08-01 00:00:00",125409.8801000000
"2018-09-01 00:00:00",343337.1651000000
"2018-10-01 00:00:00",440562.0754000000
"2018-12-01 00:00:00",653944.7486000000
"2019-01-01 00:00:00",359025.0186000000
"2019-02-01 00:00:00",356607.1729000000
"2019-04-01 00:00:00",379549.6850000000
"2019-05-01 00:00:00",340152.2349000000
"2019-06-01 00:00:00",343792.0420000000
"2019-08-01 00:00:00",338108.8774000000
"2019-09-01 00:00:00",808250.4406000000
"2019-10-01 00:00:00",1092622.1983000000
"2019-12-01 00:00:00",1488174.0158000000
"2020-01-01 00:00:00",812929.7497000000
"2020-02-01 00:00:00",862762.7656000000
"2020-04-01 00:00:00",130520.9209000000
"2020-05-01 00:00:00",145049.0525000000
"2020-06-01 00:00:00",362545.1364000000
"2020-08-01 00:00:00",799327.6345000000
"2020-09-01 00:00:00",2296919.6327000000
"2020-10-01 00:00:00",3109316.8802000000
"2020-12-01 00:00:00",4078789.9182000000
"2021-01-01 00:00:00",2303086.3699000000
"2021-02-01 00:00:00",2355170.4535000000
"2021-04-01 00:00:00",2253574.9125000000
"2021-05-01 00:00:00",2181587.7843000000
"2021-06-01 00:00:00",2288587.4483000000
"2021-08-01 00:00:00",2349478.8219000000
"2021-09-01 00:00:00",11192823.0751000000
"2021-10-01 00:00:00",13908229.2869000000
"2021-12-01 00:00:00",19537146.5599000000
