customer,net_sales_mln,pct
"Amazon ",109.03,13.233884
"Atliq Exclusive",79.92,9.700560
"Atliq e Store",70.31,8.534113
Sage,27.07,3.285713
Flipkart,25.25,3.064804
Leader,24.51,2.974984
Neptune,21.00,2.548946
Ebay,19.87,2.411788
Electricalsocity,16.25,1.972399
Synthetic,16.10,1.954192
Electricalslytical,15.64,1.898358
"Acclaimed Stores",14.32,1.738138
Propel,14.14,1.716290
Novus,12.91,1.566995
Expression,12.90,1.565781
"Reliance Digital",12.75,1.547574
walmart,12.63,1.533009
Costco,12.19,1.479602
Staples,11.49,1.394638
Girias,11.30,1.371576
"Vijay Sales",11.27,1.367934
Path,11.02,1.337590
Lotus,10.53,1.278114
Ezone,10.30,1.250197
Control,10.10,1.225922
Viveks,10.09,1.224708
Croma,9.88,1.199218
UniEuro,9.63,1.168874
Expert,8.38,1.017151
BestBuy,8.26,1.002585
"Circuit City",8.11,0.984379
"Chip 7",7.23,0.877566
"Radio Shack",7.12,0.864214
"Radio Popular",6.95,0.843580
Zone,6.91,0.838725
"Media Markt",6.88,0.835083
Elkjøp,6.76,0.820518
"Logic Stores",6.31,0.765898
Sorefoz,6.13,0.744049
Sound,5.68,0.689429
Coolblue,5.59,0.678505
"Epic Stores",5.45,0.661512
Digimarket,5.41,0.656657
Elite,5.41,0.656657
Boulanger,5.32,0.645733
"Forward Stores",5.31,0.644519
Relief,5.31,0.644519
"Nomad Stores",5.27,0.639664
Mbit,5.18,0.628740
Euronics,5.10,0.619030
"Premium Stores",5.09,0.617816
"Electricalsquipo Stores",4.75,0.576547
Taobao,4.31,0.523141
"Atlas Stores",4.16,0.504934
Chiptec,3.93,0.477017
Fnac-Darty,3.77,0.457596
Insight,3.61,0.438176
"Electricalslance Stores",3.07,0.372632
"Argos (Sainsbury's)",2.97,0.360494
"Surface Stores",2.78,0.337432
Power,2.60,0.315584
"Currys (Dixons Carphone)",2.43,0.294949
"Electricalsara Stores",2.42,0.293736
"Info Stores",2.40,0.291308
"Flawless Stores",2.38,0.288881
"Integration Stores",1.88,0.228191
Billa,1.65,0.200274
"Unity Stores",1.60,0.194205
Otto,1.57,0.190564
Saturn,1.56,0.189350
"Electricalsbea Stores",1.48,0.179640
Notebillig,1.47,0.178426
All-Out,1.06,0.128661
Nova,0.46,0.055834
